,Zeitstempel,Gender,Age,Education (highest degree),Place of residence,Do you like pineapple on pizza?,Do you like Kaiserschmarrn better with raisins or without?,"When making toast with chocolate spread (e.g., Nutella), do you also use butter? ","How many times per month do you make online purchases? (included: physical & digital products, excluded: subscriptions like Spotify, Netflix, …)  ","When you shop, are you more likely to purchase items you've researched and intended to buy, or items you see and decide to buy on the spot?  ",How comfortable are you with personalized advertising?  ,What do you use more often: On-demand streaming or regular television (fixed program)?,Do you prefer movies or series/tv-shows?,How often do you watch movies or shows?,Do you think commercial space travel to mars will be realistic in the future?,Do you think the idea of space tourism is environmentally sustainable?,Do you support the idea to use public money to support commercial space travel?,Do you use any chatbot like ChatGPT or Copilot?  ,For which tasks do you use chatbots? ,In which context do you use chatbots?,How often do you use chatbots?,How useful are the answers to you?,Do you currently own a Klimaticket?,How would you describe the public transport availability in your hometown?,How often do you use public transport?,Did you have any of these allergy prone pets in your childhood (age < 16)?,Are you allergic to any of those pets?,Do you own any of those pets or do you plan on having any of them?,"Have you ever heard of cryptocurrencies (e.g., Bitcoin or Ethereum)?",Have you ever owned any cryptocurrency?,How would you describe your technical understanding of cryptocurrencies?,Have you ever sold any cryptocurrency?;;;;;;;;;
1,2025/03/26 11:25:21 AM OEZ,Female,20-29,Master's degree,Upper Austria,Yes,Without raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Sometimes,No,No,No,Yes,Explanation;Programming;Creative tasks;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,No,Good - The connection is usually reliable and well-developed for everyday use.,Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,2,;;;;
2,2025/03/26 11:26:58 AM OEZ,Male,20-29,Bachelor's degree,Upper Austria,No,Without raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,No preference,Often,Yes,No,Yes,Yes,Explanation;Teaching;Programming,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Moderately,No,Good - The connection is usually reliable and well-developed for everyday use.,Rarely (only a few times a year),"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,3,;;;;;
3,2025/03/26 11:28:33 AM OEZ,Female,20-29,Master's degree,Upper Austria,Yes,Without raisins,"Yes, always",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Somewhat uncomfortable,Regular television (fixed program),Series/TV-shows,Daily,No,No,No,Yes,Explanation;Teaching;Programming;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,2,;;;;
4,2025/03/26 11:33:58 AM OEZ,Male,30-39,Master's degree,Upper Austria,Yes,Without raisins,"Yes, always",Multiple times a month,Mostly items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,Movies,Rarely,Yes,No,Yes,Yes,Explanation;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),"No, I never had one of these allergy prone pets",Cat,I have/plan to have a (or more) dog(s),Yes,No,3,;;;;
5,2025/03/26 11:36:01 AM OEZ,Female,20-29,Master's degree,Upper Austria,No,Without raisins,Sometimes,Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Daily,Yes,No,No,Yes,Explanation;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,No,Good - The connection is usually reliable and well-developed for everyday use.,Several times a month,Dog,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,Yes,4,Yes;;;;;
6,2025/03/26 11:37:44 AM OEZ,Female,20-29,Master's degree,Upper Austria,No,No preference,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,No preference,Often,No,No,No,Yes,Explanation;Programming;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Rarely,Very,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,1,;;;;;
7,2025/03/26 11:47:20 AM OEZ,Male,20-29,Bachelor's degree,Lower Austria,No,No preference,No preference,Multiple times a month,Mostly items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation;Programming,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring)",Several times a week,Moderately,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Never,Cat,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,5,;;;;;;
8,2025/03/26 11:50:32 AM OEZ,Male,20-29,Master's degree,Upper Austria,Yes,Without raisins,"Yes, always",Weekly,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Movies,Sometimes,Yes,No,No,Yes,Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,Alle,I have/plan to have a (or more) cat(s),Yes,No,4,;;;;;;
9,2025/03/26 11:59:17 AM OEZ,Male,20-29,Bachelor's degree,Lower Austria,No,Without raisins,"No, never",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Somewhat uncomfortable,On-demand Streaming,No preference,Rarely,No,No,No,Yes,Explanation;Teaching;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring)",Daily,Moderately,No,Poor - The connection is unreliable or severely limited.,Rarely (only a few times a year),Cat,"No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,4,;;;;
10,2025/03/26 12:02:18 PM OEZ,Male,20-29,Bachelor's degree,Upper Austria,Yes,With raisins,Sometimes,Multiple times a month,Mostly items I see and decide to buy on the spot,Neutral,On-demand Streaming,Series/TV-shows,Often,Yes,No,No,Yes,Explanation;Programming,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,Cat,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,4,;;;;;
11,2025/03/26 12:03:08 PM OEZ,Female,20-29,Bachelor's degree,Upper Austria,No,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Sometimes,Yes,No,No,Yes,Explanation;Programming,"Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Several times a month,I had more than one of the above mentioned allergy prone pets in my childhood,"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)","No, I do not have or plan on having any of those pets",Yes,No,2,;;;;;;;
12,2025/03/26 12:04:54 PM OEZ,Male,30-39,Bachelor's degree,Others (Not in Austria),No,Without raisins,"No, never",Multiple times a week,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,Yes,Yes,Yes,Yes,Explanation;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,No,Poor - The connection is unreliable or severely limited.,Never,Dog,Cat,"No, I do not have or plan on having any of those pets",Yes,No,4,;;;;
13,2025/03/26 12:05:19 PM OEZ,Female,20-29,Bachelor's degree,Lower Austria,Yes,Without raisins,"Yes, always",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Daily,Yes,No,No,Yes,Explanation;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Very,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Several times a week,I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,2,;;;;
14,2025/03/26 12:14:24 PM OEZ,Male,20-29,Master's degree,Upper Austria,Yes,Without raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Movies,Daily,Yes,No,No,Yes,Explanation,"Education and learning (e.g., research, studying, tutoring)",Rarely,Moderately,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Several times a week,"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,Yes,4,No;;;;;;;;;
